Longitude,Latitude,Loc_Name,Area,Country_ID,Rainfall,Temperature,Soil_Type,Presence
41.10583333,19.67222222,aldwaia,60,SA,246.3,33.71,Alluvial,0
41.12666667,19.66861111,altoaban,80,SA,95.78,25.59,Laterite,1
41.1025,19.60861111,aldwaia,60,SA,371.58,6.45,Unknown,0
41.10166667,19.66861111,altoaban,60,SA,88.43,39.68,Sandy ,1
41.07583333,19.40138889,alahsabah,130,SA,47.03,34.69,Peat,1
41.06361111,19.55083333,mkbab,130,SA,251.57,27.08,Unknown,0
40.92527778,20.17638889,alhognah,300,SA,319.05,11.7,Unknown,0
40.89638889,20.00166667,algoaa,500,SA,106.39,17.99,Alluvial,0
41.2075,18.94416667,enaekr,150,SA,307.51,25.57,Unknown,0
41.93472222,17.78555556,wadi nhab,40,SA,294.75,21.54,Loam,0
41.46805556,18.59861111,almalmat,20,SA,292.6,15.85,Sandy ,0
41.07972222,19.71833333,albdaah,100,SA,19.05,35.97,Sandy ,1
42.74888889,17.92111111,hamdah,30,SA,94.74,17.26,Peat,1
41.48944444,19.14277778,kamis harb,100,SA,160.78,20.52,Peat,0
41.29361111,19.44777778,yabs,50,SA,371.58,8.8,Unknown,0
41.10722222,19.67055556,aldawaia,140,SA,101.31,28.9,Loam,1
41.13972222,19.70111111,aldawaia,80,SA,356.56,7.77,Loam,0
41.02111111,19.69944444,albadaah,360,SA,348.18,35.55,Peat,0
40.58444444,20.15055556,algbaese,60,SA,138.4,6.48,Unknown,0
42.01888889,17.73555556,alraghiah,90,SA,324.34,28.56,Loam,1
41.36583333,19.23111111,hdab alkael,100,SA,337.4,7.15,Loam,0
40.92,19.6125,wadi dogah,280,SA,92.69,29.8,Sandy ,1
41.28944444,19.45027778,yabs,60,SA,7.34,22.92,Peat,0
41.15194444,19.40166667,nawan,50,SA,72.17,38.51,Peat,1
41.16972222,19.63166667,sharq altoaban,80,SA,211.76,8.06,Peat,0
55.57222222,23.62916667,Al Wagan,0,AE,103.26,30.34,Unknown,1
55.41666667,23.43333333,Alquo'a,0,AE,377.66,14.71,Laterite,0
55.42444444,23.80416667,AlAraad,0,AE,156.58,29.47,Sandy ,1
41.12638889,19.66888889,aldawaia,40,SA,183.86,34.3,Peat,0
41.09611111,19.68444444,aldawaia,40,SA,384.78,13.57,Sandy ,0
40.87527778,20.08888889,alhognah,40,SA,5.47,39.16,Sandy ,0
