Report_Date,Location,Vegetation_Details,Land_Size(Acres),Season,Species,Stage,Soil_Type,Distribution,GPS_Coordinates
2022-05-28,Bungoma West District,Pasture and Grasslands,367.0310773050627,Dry/Warm Season(September-October),Red locust (Nomadacris septemfasciata),Fledglings(Young Adults),Clay Soil,Entire Area,"(Decimal('-73.9840895'), Decimal('-137.575059'))"
2022-10-24,Marsabit North District,Fruit Orchards,753.0055060613811,Short Rains/Wet Season(April-June),Tree locust (Anacridium sp.),Hoppers/Nymph(Breeding Ground),Alluvial Soil,Unknown,"(Decimal('47.3207145'), Decimal('28.752127'))"
2022-04-02,Kiambaa District,Pasture and Grasslands,167.80386147719355,Wet Season/Long Rains(April-June),Desert Locusts(Schistocerca gregaria),Fledglings(Young Adults),Peat Soil,Entire Field,"(Decimal('53.250333'), Decimal('70.122163'))"
2021-06-07,Nandi East District,Fruit Orchards,917.2614620769853,Wet Season/Long Rains(April-June),Tree locust (Anacridium sp.),Unknown,Loam Soil,Paddock Only,"(Decimal('53.829279'), Decimal('162.077376'))"
2021-09-11,Hamisi District,Unknown,249.19598996315096,Dry/Cold Season(July-August),Grasshoppers,Unknown,Clay Soil,Entire Area,"(Decimal('76.0407475'), Decimal('4.090078'))"
2021-09-21,Kaloleni District,Staple Crops,343.9515718064765,Dry/Hot Season(January-March),Tree locust (Anacridium sp.),Hoppers/Nymph(Breeding Ground),Clay Soil,Entire Field,"(Decimal('51.779955'), Decimal('-134.944471'))"
2023-09-26,Nairobi East District,Unknown,608.3395403214686,Wet Season/Long Rains(April-June),Spur Throated Locusts,Eggs(Breeding Ground),Loose Sandy Soil,Paddock Only,"(Decimal('78.910434'), Decimal('-14.586386'))"
2024-02-13,Mukaa District,Staple Crops,295.86776808744526,Wet Season/Short Rains(November-December),Tree locust (Anacridium sp.),Hoppers/Nymph(Breeding Ground),Alluvial Soil,Entire Field,"(Decimal('87.2493225'), Decimal('151.104390'))"
2023-11-27,Embu West District,Vegetable Crops,311.53811104466956,Wet Season/Short Rains(November-December),Tree locust (Anacridium sp.),Eggs(Breeding Ground),Unknown,Paddock Only,"(Decimal('-46.1560705'), Decimal('95.100592'))"
2022-01-28,Butere District,Fruit Orchards,354.7463873954138,Wet Season/Long Rains(April-June),Spur Throated Locusts,Eggs(Breeding Ground),Peat Soil,Entire Area,"(Decimal('45.5695605'), Decimal('-35.432426'))"
2020-06-28,Nyamira North District,Pasture and Grasslands,410.1295954047048,Short Rains/Wet Season(April-June),Grasshoppers,Unknown,Clay Soil,Paddock Only,"(Decimal('-83.153163'), Decimal('-47.021046'))"
2023-04-25,Kisumu East District,Fruit Orchards,690.0532800946497,Wet Season/Long Rains(April-June),Tree locust (Anacridium sp.),Eggs(Breeding Ground),Unknown,Unknown,"(Decimal('-37.0748985'), Decimal('79.454892'))"
2021-06-14,Kakamega East District,Unknown,554.4270958629597,Wet Season/Long Rains(April-June),Red locust (Nomadacris septemfasciata),Fledglings(Young Adults),Loam Soil,Unknown,"(Decimal('-15.6052505'), Decimal('61.917339'))"
2022-08-13,Kilifi District,Staple Crops,329.2181737405207,Short Rains/Wet Season(April-June),Tree locust (Anacridium sp.),Adults,Alluvial Soil,Entire Area,"(Decimal('53.9995745'), Decimal('60.974019'))"
2023-04-07,Kangundo District,Pasture and Grasslands,487.32012652196494,Dry/Cold Season(July-August),Bombay Locust ( Nomadacris succincta),Adults,Unknown,Entire Area,"(Decimal('-11.6560505'), Decimal('-65.909814'))"
2022-01-11,Malindi District,Unknown,834.7639794916945,Dry/Hot Season(January-March),Unknown,Hoppers/Nymph(Breeding Ground),Alluvial Soil,Paddock Only,"(Decimal('76.509668'), Decimal('-41.420710'))"
2022-01-24,Igembe North District,Fruit Orchards,824.8027916519166,Short Rains/Wet Season(April-June),Bombay Locust ( Nomadacris succincta),Fledglings(Young Adults),Laterite Soil,Entire Area,"(Decimal('-73.6682235'), Decimal('70.846534'))"
